hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0,58,2016,September,3,3,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,C,F,No Deposit,0,Transient,46.9,0,0
City Hotel,0,67,2016,March,2,7,3,0,0,Undefined,PRT,Online TA,TA/TO,0,0,0,F,B,No Deposit,0,Contract,88.68,0,0
City Hotel,1,87,2017,May,3,4,1,0,0,HB,GBR,Corporate,TA/TO,0,0,0,D,E,No Deposit,2,Transient,76.6,0,1
City Hotel,1,127,2015,December,3,6,2,0,0,Undefined,BEL,Offline TA/TO,Direct,0,0,0,D,C,No Deposit,0,Transient,106.59,0,1
City Hotel,0,74,2015,August,0,1,1,0,0,BB,BEL,Corporate,TA/TO,0,0,0,E,B,No Deposit,0,Transient,93.99,2,0
Resort Hotel,0,114,2016,August,0,1,2,0,0,HB,FRA,Complementary,TA/TO,0,0,0,F,C,No Deposit,0,Contract,67.23,0,0
Resort Hotel,1,47,2017,September,2,2,2,0,0,HB,IRL,Online TA,TA/TO,0,1,0,F,E,No Deposit,0,Transient,96.19,0,0
Resort Hotel,0,37,2017,December,1,4,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,F,Non Refund,0,Contract,56.98,0,0
City Hotel,1,138,2015,March,3,7,3,2,0,BB,GBR,Online TA,Direct,0,0,2,E,B,No Deposit,0,Transient,61.41,0,2
City Hotel,0,160,2015,March,0,8,1,0,0,SC,IRL,Online TA,TA/TO,0,0,0,F,D,No Deposit,0,Transient,43.86,0,1
City Hotel,0,11,2015,April,1,7,2,0,0,BB,FRA,Online TA,TA/TO,0,2,0,C,A,Refundable,0,Transient,46.74,1,1
Resort Hotel,0,62,2015,June,2,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,F,A,No Deposit,0,Transient,34.43,0,0
Resort Hotel,1,92,2016,July,4,4,1,0,0,BB,PRT,Groups,Direct,0,0,0,D,A,No Deposit,0,Transient,106.37,0,1
Resort Hotel,0,6,2016,December,0,2,2,0,0,HB,GBR,Direct,TA/TO,0,0,0,F,C,No Deposit,0,Transient,103.36,0,1
City Hotel,1,212,2015,December,3,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,A,Refundable,0,Transient,80.88,0,0
City Hotel,0,58,2017,January,0,2,3,0,0,FB,ESP,Offline TA/TO,Corporate,0,0,1,D,D,No Deposit,0,Contract,83.78,0,1
Resort Hotel,0,82,2016,February,3,2,2,0,0,BB,DEU,Groups,GDS,0,0,1,A,F,No Deposit,1,Transient,189.05,0,2
City Hotel,0,15,2015,March,0,1,2,0,0,Undefined,NLD,Online TA,TA/TO,0,0,0,B,B,No Deposit,1,Transient,114.46,0,1
Resort Hotel,0,24,2015,January,2,2,1,0,0,HB,BRA,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,109.08,0,0
Resort Hotel,0,10,2017,March,2,7,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,C,No Deposit,0,Transient,92.1,0,2
Resort Hotel,0,24,2017,April,2,7,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,A,No Deposit,1,Group,65.27,0,2
Resort Hotel,1,54,2015,November,2,4,2,0,0,BB,ITA,Online TA,TA/TO,0,1,0,B,F,No Deposit,0,Transient,49.79,0,1
Resort Hotel,0,143,2016,June,2,8,2,0,0,SC,BEL,Direct,TA/TO,0,0,0,E,E,No Deposit,0,Transient-Party,61.61,0,1
Resort Hotel,0,61,2016,May,3,0,2,0,0,Undefined,IRL,Online TA,TA/TO,0,0,0,A,C,No Deposit,0,Transient,131.83,0,2
City Hotel,1,22,2017,November,3,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,B,No Deposit,0,Transient,82.64,1,1
City Hotel,0,3,2016,June,4,6,3,0,0,BB,DEU,Offline TA/TO,Direct,0,0,0,B,C,No Deposit,0,Transient,39.54,0,1
City Hotel,0,77,2016,September,2,2,2,2,0,SC,ESP,Corporate,Corporate,0,0,0,A,C,No Deposit,10,Transient,141.75,0,2
City Hotel,0,43,2016,January,1,6,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,C,E,Non Refund,0,Transient-Party,48.95,0,5
Resort Hotel,1,332,2015,March,3,4,2,0,0,BB,IRL,Direct,TA/TO,0,0,0,B,D,No Deposit,1,Transient,126.2,0,0
City Hotel,0,121,2015,August,3,0,2,0,0,HB,BRA,Online TA,TA/TO,0,0,2,C,E,No Deposit,0,Transient,91.81,0,0
Resort Hotel,1,132,2016,September,4,4,1,0,0,Undefined,PRT,Direct,TA/TO,0,0,1,E,B,No Deposit,0,Contract,61.87,0,4
City Hotel,0,0,2015,November,3,0,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,B,No Deposit,0,Transient,43.29,0,3
City Hotel,0,120,2017,February,0,0,2,2,0,BB,NLD,Online TA,TA/TO,0,0,1,C,C,No Deposit,0,Transient,118.34,0,2
Resort Hotel,0,17,2016,October,3,5,2,2,0,BB,NLD,Direct,TA/TO,0,0,0,F,C,No Deposit,0,Transient,238.46,0,0
City Hotel,0,70,2016,May,0,0,1,0,0,HB,IRL,Online TA,TA/TO,0,0,0,A,B,No Deposit,0,Transient,98.45,0,0
Resort Hotel,1,47,2017,March,4,5,1,0,0,FB,NLD,Direct,TA/TO,0,0,2,E,E,Non Refund,0,Contract,180.98,0,0
Resort Hotel,0,67,2016,October,0,2,3,0,0,HB,PRT,Groups,TA/TO,0,0,2,B,D,No Deposit,0,Transient,98.78,0,1
Resort Hotel,0,11,2016,February,1,6,2,0,0,BB,DEU,Online TA,TA/TO,0,0,2,C,B,No Deposit,0,Transient,88.25,0,1
Resort Hotel,0,48,2016,December,3,1,2,0,0,HB,GBR,Direct,TA/TO,0,0,1,D,E,No Deposit,0,Transient-Party,47.16,0,2
Resort Hotel,0,3,2017,November,1,6,2,0,0,BB,DEU,Online TA,GDS,0,0,0,F,E,No Deposit,0,Transient,29.53,0,1
Resort Hotel,0,3,2015,November,2,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,1,B,F,No Deposit,0,Transient,30.54,0,2
Resort Hotel,0,85,2015,September,4,0,3,0,0,BB,BRA,Online TA,Direct,0,0,0,F,E,Non Refund,0,Transient,94.97,0,2
City Hotel,0,242,2016,May,4,6,2,0,1,SC,ESP,Online TA,Corporate,0,0,0,F,A,No Deposit,0,Transient,105.71,0,0
Resort Hotel,1,120,2015,September,3,6,2,0,0,Undefined,BEL,Online TA,TA/TO,0,0,0,E,D,No Deposit,0,Transient,356.04,0,0
Resort Hotel,0,50,2016,December,3,3,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,C,E,No Deposit,0,Group,33.72,2,0
City Hotel,0,4,2017,January,4,8,2,0,0,HB,NLD,Offline TA/TO,Direct,0,1,2,D,B,No Deposit,0,Transient,38.86,1,4
City Hotel,0,3,2017,April,3,6,1,0,0,FB,DEU,Online TA,TA/TO,0,0,0,D,B,No Deposit,0,Transient,71.57,0,0
Resort Hotel,0,13,2016,January,0,7,1,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,C,No Deposit,0,Transient,79.77,0,1
Resort Hotel,1,297,2016,May,0,5,2,0,0,HB,BEL,Direct,TA/TO,0,0,1,C,D,No Deposit,0,Contract,88.27,0,0
City Hotel,0,40,2016,December,0,4,2,0,0,SC,GBR,Offline TA/TO,TA/TO,0,2,1,B,F,No Deposit,10,Transient,116.0,0,0
Resort Hotel,0,148,2015,November,4,1,2,1,0,HB,DEU,Groups,TA/TO,0,0,0,F,D,No Deposit,0,Transient,145.5,0,1
City Hotel,0,97,2017,May,4,0,2,0,0,HB,BEL,Online TA,Direct,0,0,1,B,D,No Deposit,0,Group,103.72,0,0
Resort Hotel,1,74,2016,July,1,6,2,0,0,BB,BEL,Corporate,TA/TO,0,0,0,D,B,No Deposit,0,Transient,97.63,0,0
City Hotel,1,236,2015,July,2,2,2,0,0,BB,BEL,Direct,TA/TO,0,0,0,D,A,No Deposit,0,Transient,159.21,0,1
City Hotel,1,20,2016,August,3,2,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,F,C,No Deposit,0,Group,110.98,1,0
City Hotel,0,48,2017,June,4,5,1,0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,F,D,No Deposit,0,Transient,132.09,0,0
Resort Hotel,0,160,2017,October,1,8,3,0,0,BB,IRL,Online TA,Corporate,0,0,1,F,A,No Deposit,0,Transient,75.57,1,5
City Hotel,0,64,2017,March,2,3,1,1,0,Undefined,FRA,Online TA,Corporate,0,0,0,E,A,Non Refund,0,Transient,135.9,0,1
Resort Hotel,1,22,2016,September,0,5,1,1,0,SC,ITA,Offline TA/TO,TA/TO,0,1,0,D,B,No Deposit,0,Contract,85.77,0,0
City Hotel,0,18,2017,May,3,8,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,A,No Deposit,0,Transient-Party,91.55,0,0
City Hotel,0,111,2016,September,4,4,2,2,0,Undefined,NLD,Offline TA/TO,TA/TO,0,0,0,F,A,No Deposit,0,Transient,102.39,1,0
City Hotel,0,1,2015,May,1,5,1,0,0,Undefined,GBR,Direct,TA/TO,0,0,2,E,C,Non Refund,1,Transient,71.69,0,0
City Hotel,1,196,2015,March,0,5,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,C,E,No Deposit,0,Transient,88.46,0,1
Resort Hotel,0,1,2015,July,2,6,1,0,0,SC,IRL,Online TA,TA/TO,0,1,0,E,B,No Deposit,0,Contract,111.06,0,4
City Hotel,0,79,2016,September,1,4,3,0,0,BB,NLD,Offline TA/TO,Direct,0,0,2,C,D,No Deposit,0,Contract,238.63,0,1
City Hotel,0,74,2017,January,2,3,2,0,0,HB,BRA,Online TA,TA/TO,0,0,0,C,B,No Deposit,0,Transient-Party,135.54,0,0
Resort Hotel,1,69,2017,March,4,7,1,0,0,BB,NLD,Online TA,TA/TO,0,0,1,A,A,No Deposit,0,Transient,127.93,0,0
Resort Hotel,0,51,2016,July,1,7,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,83.91,0,3
Resort Hotel,0,153,2015,September,3,3,1,0,0,BB,FRA,Groups,GDS,0,1,0,F,B,No Deposit,0,Transient,69.17,0,0
City Hotel,0,86,2015,April,0,4,1,1,0,SC,GBR,Online TA,Direct,0,0,0,A,D,No Deposit,0,Transient,177.77,0,5
City Hotel,0,121,2016,May,1,3,2,0,0,Undefined,IRL,Offline TA/TO,TA/TO,0,0,0,F,C,No Deposit,0,Group,48.49,0,2
City Hotel,0,9,2017,August,4,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,D,No Deposit,0,Transient,70.2,0,0
City Hotel,0,4,2017,April,4,1,2,0,0,Undefined,FRA,Offline TA/TO,Corporate,0,0,0,D,D,No Deposit,0,Transient,199.07,0,0
City Hotel,0,2,2017,February,2,8,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,B,A,No Deposit,0,Transient-Party,57.32,0,1
Resort Hotel,0,12,2017,July,2,0,2,0,0,HB,GBR,Direct,Corporate,0,0,0,B,A,No Deposit,0,Contract,234.19,0,0
City Hotel,0,87,2015,February,3,5,1,0,0,BB,DEU,Direct,Corporate,0,1,2,C,A,No Deposit,2,Transient,80.75,0,5
City Hotel,0,54,2017,June,4,1,1,0,0,BB,ITA,Offline TA/TO,TA/TO,1,0,0,B,D,Refundable,0,Transient,105.5,0,0
City Hotel,1,111,2016,July,4,2,1,0,0,SC,DEU,Corporate,TA/TO,0,0,0,B,B,Non Refund,5,Transient,71.16,0,0
City Hotel,0,17,2017,August,4,6,2,0,0,SC,DEU,Online TA,Direct,0,0,0,D,E,Non Refund,0,Group,160.19,0,2
City Hotel,0,36,2015,May,0,7,1,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,C,C,No Deposit,10,Transient,76.19,0,2
Resort Hotel,1,175,2017,January,0,7,2,0,0,BB,PRT,Groups,Direct,0,0,1,A,E,No Deposit,0,Transient,84.94,1,1
Resort Hotel,1,219,2017,March,4,7,1,0,0,BB,GBR,Direct,TA/TO,0,1,0,A,B,No Deposit,0,Transient,97.71,1,0
City Hotel,1,203,2016,October,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,No Deposit,0,Transient-Party,171.46,0,1
City Hotel,1,136,2017,September,4,6,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,E,No Deposit,0,Transient,125.49,0,0
City Hotel,0,93,2017,June,2,7,1,0,0,Undefined,GBR,Offline TA/TO,TA/TO,0,0,0,B,D,No Deposit,0,Transient,55.01,0,0
City Hotel,1,195,2016,November,2,2,3,0,0,BB,DEU,Online TA,Direct,0,0,0,E,E,No Deposit,1,Transient,105.94,0,1
Resort Hotel,1,100,2016,May,0,4,2,0,0,BB,BEL,Corporate,Direct,0,0,3,D,C,No Deposit,0,Transient,186.49,0,0
City Hotel,1,246,2016,January,2,0,2,0,0,HB,ESP,Online TA,Corporate,0,0,0,A,B,Refundable,0,Transient,42.44,0,1
City Hotel,0,2,2016,April,2,4,3,0,0,FB,ITA,Online TA,TA/TO,0,0,0,E,D,No Deposit,0,Contract,58.53,0,1
City Hotel,1,203,2015,May,3,6,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,C,C,No Deposit,0,Contract,108.35,0,0
Resort Hotel,0,64,2017,February,3,6,2,0,0,HB,PRT,Online TA,Direct,0,0,0,C,C,No Deposit,0,Group,68.22,0,0
City Hotel,0,9,2017,May,4,5,1,0,0,HB,DEU,Online TA,TA/TO,0,0,0,C,E,No Deposit,0,Transient-Party,66.48,0,3
City Hotel,0,19,2015,March,1,1,2,0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,C,B,Refundable,0,Transient,79.58,0,0
City Hotel,1,152,2016,August,1,7,2,0,0,SC,DEU,Offline TA/TO,TA/TO,0,0,0,E,A,No Deposit,0,Transient,105.19,0,0
Resort Hotel,0,56,2017,October,3,4,2,0,0,SC,DEU,Groups,Corporate,0,0,0,A,C,No Deposit,0,Transient,135.9,0,0
Resort Hotel,1,325,2016,November,4,2,2,0,0,BB,NLD,Groups,Direct,0,1,1,F,F,No Deposit,0,Transient,83.11,0,0
City Hotel,0,10,2016,January,3,8,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,F,No Deposit,0,Transient-Party,131.94,0,0
Resort Hotel,0,42,2015,April,2,7,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,F,F,Refundable,0,Contract,107.9,0,0
City Hotel,0,32,2015,December,4,6,2,0,0,FB,BRA,Online TA,Corporate,0,0,0,B,C,Non Refund,0,Transient,108.57,0,2
City Hotel,0,58,2016,November,4,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,No Deposit,0,Transient-Party,103.72,0,0
City Hotel,0,80,2017,September,1,6,2,1,0,BB,GBR,Corporate,TA/TO,0,0,0,A,D,No Deposit,0,Transient,91.78,0,0
Resort Hotel,0,86,2016,December,1,7,3,0,0,SC,NLD,Online TA,TA/TO,0,0,2,E,A,No Deposit,0,Transient,65.33,0,0
Resort Hotel,0,0,2017,January,1,7,2,2,0,BB,ITA,Corporate,TA/TO,0,2,0,F,E,No Deposit,0,Transient,93.71,0,0
City Hotel,0,7,2016,June,0,7,2,0,0,BB,ITA,Direct,TA/TO,0,0,2,C,A,No Deposit,0,Transient,131.49,0,0
City Hotel,0,2,2016,June,2,8,2,0,0,BB,DEU,Online TA,Direct,1,0,0,C,B,Non Refund,0,Transient,43.95,0,0
Resort Hotel,0,159,2017,November,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,1,C,F,No Deposit,0,Transient,145.04,0,0
Resort Hotel,0,30,2015,February,2,6,3,0,0,FB,IRL,Online TA,Corporate,0,0,2,D,B,No Deposit,0,Group,346.92,1,0
City Hotel,0,36,2015,January,2,8,1,0,0,Undefined,ESP,Direct,TA/TO,0,1,0,A,C,No Deposit,0,Transient,55.82,0,1
Resort Hotel,1,47,2016,January,2,2,2,0,0,HB,ITA,Corporate,Corporate,0,1,0,F,A,No Deposit,0,Transient-Party,96.07,0,0
City Hotel,0,151,2017,October,2,5,2,0,0,Undefined,NLD,Online TA,TA/TO,0,0,0,C,D,No Deposit,2,Transient,74.08,0,1
City Hotel,0,1,2015,May,0,3,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,C,C,No Deposit,0,Transient,123.07,0,1
City Hotel,0,10,2017,November,4,1,2,0,0,HB,FRA,Offline TA/TO,Direct,0,0,1,E,D,No Deposit,0,Transient,87.82,0,0
City Hotel,0,92,2015,May,1,4,1,0,0,Undefined,BEL,Offline TA/TO,TA/TO,0,0,0,C,F,No Deposit,0,Transient,30.27,1,2
City Hotel,0,265,2017,November,1,3,2,0,0,BB,BRA,Online TA,Corporate,0,0,0,D,A,No Deposit,0,Transient,77.78,0,4
Resort Hotel,1,82,2016,October,1,3,2,0,0,BB,ESP,Online TA,GDS,0,0,0,F,F,No Deposit,0,Transient,86.53,0,0
City Hotel,0,24,2017,July,2,7,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,B,B,No Deposit,0,Transient,76.66,0,3
City Hotel,0,58,2016,September,1,2,1,0,0,HB,ESP,Online TA,TA/TO,0,0,0,F,C,No Deposit,0,Transient-Party,107.43,0,0
City Hotel,1,295,2015,April,0,6,2,0,0,HB,GBR,Online TA,TA/TO,0,0,2,B,C,Non Refund,0,Transient,152.62,0,1
City Hotel,1,60,2017,April,2,4,2,0,1,Undefined,DEU,Online TA,TA/TO,0,0,0,F,A,Non Refund,0,Transient,233.07,0,1
City Hotel,0,37,2015,November,2,3,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,C,F,No Deposit,0,Transient,108.1,0,0
Resort Hotel,0,38,2015,November,0,2,2,0,1,HB,ESP,Online TA,TA/TO,0,0,1,A,A,Non Refund,0,Transient,148.07,0,0
City Hotel,1,272,2016,July,4,2,2,0,0,HB,PRT,Direct,Direct,0,0,0,B,A,No Deposit,0,Transient,42.26,0,4
Resort Hotel,0,101,2017,September,0,6,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,77.86,0,0
Resort Hotel,0,92,2016,July,0,4,2,0,0,FB,BEL,Online TA,TA/TO,0,0,0,D,B,No Deposit,0,Transient,40.42,1,1
Resort Hotel,0,21,2017,August,0,4,2,1,0,HB,PRT,Offline TA/TO,TA/TO,1,0,0,B,E,No Deposit,0,Transient,90.95,0,0
Resort Hotel,0,65,2015,October,4,6,1,0,0,BB,IRL,Online TA,TA/TO,0,0,2,D,F,No Deposit,0,Transient,81.84,0,3
Resort Hotel,0,35,2015,July,1,7,2,0,0,Undefined,DEU,Online TA,TA/TO,0,1,0,A,A,No Deposit,0,Transient,146.31,0,0
Resort Hotel,0,21,2017,September,0,5,2,2,0,BB,ITA,Offline TA/TO,Corporate,0,0,0,C,C,No Deposit,0,Transient,95.56,0,0
City Hotel,1,180,2015,June,2,7,1,0,0,BB,BRA,Offline TA/TO,TA/TO,0,1,2,D,D,No Deposit,0,Transient,51.58,0,2
Resort Hotel,0,38,2015,November,1,2,2,2,0,HB,BRA,Online TA,Direct,0,0,0,C,E,No Deposit,0,Contract,160.86,0,2
City Hotel,1,26,2016,September,1,6,2,0,0,BB,NLD,Online TA,Direct,0,0,0,B,C,No Deposit,0,Transient,252.5,0,1
Resort Hotel,1,214,2015,March,3,1,2,2,0,SC,GBR,Corporate,TA/TO,0,0,1,E,D,No Deposit,0,Transient,133.45,0,4
City Hotel,0,17,2015,April,0,6,2,0,0,HB,DEU,Online TA,TA/TO,0,0,2,D,D,No Deposit,0,Contract,117.66,1,0
City Hotel,0,109,2015,September,1,7,2,0,0,HB,BEL,Offline TA/TO,Corporate,0,0,0,E,E,No Deposit,0,Transient,58.83,0,0
City Hotel,0,84,2017,February,2,2,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,B,F,No Deposit,0,Contract,178.53,0,0
City Hotel,1,202,2015,December,4,4,2,0,0,BB,BEL,Online TA,TA/TO,0,0,1,C,F,No Deposit,0,Transient,55.57,0,1
City Hotel,0,142,2016,February,4,3,1,0,0,HB,BRA,Groups,Direct,0,0,0,D,D,No Deposit,0,Contract,102.31,0,4
City Hotel,0,97,2016,October,1,1,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,C,No Deposit,0,Transient,70.61,0,1
Resort Hotel,0,30,2016,August,4,1,1,0,0,BB,DEU,Complementary,TA/TO,0,0,1,E,F,No Deposit,0,Transient,71.45,1,0
City Hotel,0,54,2016,November,3,4,1,0,0,HB,BRA,Offline TA/TO,Direct,0,1,0,A,E,No Deposit,1,Transient,59.43,0,1
Resort Hotel,1,231,2015,October,4,4,2,0,0,BB,ESP,Groups,Corporate,0,0,0,E,F,No Deposit,0,Contract,97.08,0,0
Resort Hotel,0,1,2016,June,4,1,3,0,0,Undefined,BEL,Corporate,TA/TO,0,0,0,D,A,No Deposit,0,Transient,78.92,0,0
Resort Hotel,1,126,2017,May,4,7,2,1,0,FB,BEL,Online TA,Direct,0,0,0,E,F,No Deposit,0,Contract,18.21,0,1
City Hotel,0,23,2017,February,2,0,1,0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,C,E,No Deposit,0,Transient,115.62,0,0
City Hotel,0,16,2015,January,3,2,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,B,D,No Deposit,0,Transient,60.98,0,1
City Hotel,0,21,2017,March,3,1,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,C,F,No Deposit,0,Transient-Party,105.46,0,0
City Hotel,0,4,2017,November,4,5,2,1,0,Undefined,IRL,Corporate,TA/TO,0,0,0,A,F,Non Refund,0,Transient,73.52,1,0
Resort Hotel,1,386,2015,June,1,6,1,0,0,FB,IRL,Corporate,TA/TO,0,0,0,C,A,No Deposit,2,Transient,67.2,0,2
City Hotel,0,163,2015,November,2,5,2,0,0,HB,ITA,Direct,TA/TO,0,0,1,D,C,No Deposit,0,Transient,67.21,0,2
City Hotel,1,58,2016,November,1,3,2,0,0,HB,BRA,Online TA,TA/TO,0,0,1,E,B,No Deposit,0,Transient-Party,114.24,0,1
City Hotel,0,100,2016,December,0,1,2,0,0,BB,GBR,Direct,Direct,0,0,0,C,C,No Deposit,0,Transient,51.71,0,0
City Hotel,0,65,2015,December,2,3,2,1,0,HB,NLD,Direct,TA/TO,0,0,0,A,A,No Deposit,0,Contract,224.65,0,0
City Hotel,0,133,2017,December,4,8,1,0,0,HB,IRL,Online TA,Corporate,0,2,0,E,A,No Deposit,0,Transient,133.86,0,0
City Hotel,0,149,2015,May,2,1,1,0,0,HB,BEL,Online TA,TA/TO,0,0,2,D,F,No Deposit,0,Transient,70.96,1,0
Resort Hotel,0,21,2016,June,2,6,3,0,0,BB,PRT,Direct,Corporate,0,0,0,D,D,No Deposit,0,Transient,156.28,2,0
Resort Hotel,0,49,2015,November,1,3,1,2,0,BB,PRT,Online TA,Corporate,0,0,0,D,A,No Deposit,0,Transient,58.09,0,0
Resort Hotel,1,80,2015,July,0,2,2,0,0,Undefined,ESP,Online TA,TA/TO,0,0,0,E,E,No Deposit,0,Transient,68.63,0,2
Resort Hotel,1,306,2017,July,2,8,3,1,0,SC,DEU,Direct,TA/TO,0,0,0,B,C,No Deposit,0,Transient,177.11,0,3
City Hotel,0,91,2015,March,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,C,A,No Deposit,0,Transient,128.82,0,2
City Hotel,1,182,2016,November,0,4,2,1,0,BB,DEU,Online TA,TA/TO,0,2,1,C,E,No Deposit,0,Transient,52.41,1,2
City Hotel,1,149,2015,October,1,8,1,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,D,No Deposit,0,Transient-Party,107.13,0,0
City Hotel,0,69,2017,August,1,2,2,0,1,BB,ESP,Direct,TA/TO,0,0,1,D,D,No Deposit,0,Transient,48.87,0,1
City Hotel,0,179,2015,August,4,8,2,0,0,BB,BEL,Online TA,GDS,0,0,2,A,A,Non Refund,0,Transient,73.27,0,1
Resort Hotel,1,37,2017,November,4,5,1,0,0,BB,BEL,Online TA,Corporate,0,0,0,B,D,No Deposit,0,Transient,82.26,1,0
Resort Hotel,0,38,2015,March,2,6,2,0,0,FB,BEL,Corporate,TA/TO,0,0,0,B,A,Non Refund,0,Transient,134.55,0,1
City Hotel,0,121,2017,June,4,7,1,0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,F,No Deposit,0,Contract,63.86,0,1
City Hotel,0,11,2015,September,1,4,2,0,0,BB,GBR,Online TA,GDS,0,0,0,E,E,No Deposit,0,Group,89.38,0,3
City Hotel,0,29,2015,January,4,1,2,0,0,HB,BRA,Online TA,TA/TO,0,0,0,E,C,No Deposit,0,Transient,104.77,0,0
Resort Hotel,0,75,2015,November,4,6,2,0,0,BB,ESP,Online TA,GDS,0,0,0,F,D,No Deposit,5,Transient,43.47,0,0
City Hotel,0,43,2015,February,4,6,1,0,0,SC,ITA,Online TA,TA/TO,0,0,2,B,C,No Deposit,0,Transient,70.9,0,1
Resort Hotel,0,226,2015,February,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,2,D,C,No Deposit,0,Transient,48.04,0,1
City Hotel,0,254,2016,May,4,6,2,0,0,HB,FRA,Offline TA/TO,Direct,0,1,0,F,F,No Deposit,1,Contract,199.12,0,0
City Hotel,0,55,2016,June,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,136.46,0,3
Resort Hotel,0,61,2015,March,0,5,1,0,0,HB,FRA,Offline TA/TO,Direct,0,0,0,F,A,No Deposit,0,Transient-Party,59.02,0,1
Resort Hotel,1,103,2017,April,4,8,2,0,0,BB,ITA,Online TA,TA/TO,0,1,0,F,F,Non Refund,0,Transient,118.91,0,0
Resort Hotel,1,48,2017,October,4,3,2,1,0,BB,FRA,Groups,Direct,0,0,0,D,A,No Deposit,0,Transient,149.17,1,0
Resort Hotel,0,16,2016,December,1,0,2,0,0,BB,PRT,Online TA,Direct,0,0,0,E,A,No Deposit,0,Transient,44.01,0,1
City Hotel,0,109,2016,February,2,3,2,0,0,FB,BEL,Online TA,Direct,0,0,0,A,A,Refundable,0,Contract,135.9,0,1
Resort Hotel,1,107,2016,December,1,2,1,0,0,HB,IRL,Online TA,TA/TO,0,0,0,C,D,No Deposit,0,Transient-Party,73.59,0,0
City Hotel,0,22,2017,March,3,4,2,0,0,SC,NLD,Online TA,Direct,0,0,0,C,C,No Deposit,0,Group,100.46,0,0
Resort Hotel,0,143,2016,December,1,6,2,0,0,BB,PRT,Direct,TA/TO,0,0,2,D,E,No Deposit,0,Transient,108.24,1,2
City Hotel,0,76,2016,August,2,7,2,0,0,BB,BRA,Groups,TA/TO,0,0,0,E,F,No Deposit,0,Transient,102.49,0,1
City Hotel,0,21,2016,May,1,2,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,C,A,No Deposit,0,Transient,63.68,0,2
City Hotel,0,84,2015,February,0,4,1,2,0,Undefined,BEL,Corporate,TA/TO,0,0,1,F,B,No Deposit,0,Transient,78.94,0,2
City Hotel,1,21,2015,October,0,7,2,0,0,Undefined,ESP,Corporate,Direct,0,0,0,A,F,No Deposit,0,Transient,200.92,0,0
Resort Hotel,0,24,2016,October,1,6,2,0,0,Undefined,ESP,Offline TA/TO,TA/TO,0,0,0,C,D,No Deposit,0,Transient-Party,83.34,0,2
